127.0.0.1, 2017-01-19 20:13:52, GET, /, HTTP/1.1, 303, 0.827000
127.0.0.1, 2017-01-19 20:13:53, GET, /welcome/default/index, HTTP/1.1, 200, 1.220000
127.0.0.1, 2017-01-19 20:13:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:53, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:53, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:13:54, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:13:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/default/index, HTTP/1.1, 200, 0.120000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:00, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:01, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2017-01-19 20:14:03, POST, /admin/default/index, HTTP/1.1, 303, 0.040000
127.0.0.1, 2017-01-19 20:14:03, GET, /admin/default/site, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-01-19 20:14:03, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:03, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:03, POST, /admin/default/check_version, HTTP/1.1, 200, 0.228000
127.0.0.1, 2017-01-19 20:14:03, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:11, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:12, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:14, GET, /admin/default/site, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-01-19 20:14:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-01-19 20:14:21, GET, /admin/default/site, HTTP/1.1, 200, 0.072000
127.0.0.1, 2017-01-19 20:14:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:27, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.152000
127.0.0.1, 2017-01-19 20:14:27, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:27, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:27, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:27, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:39, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-19 20:14:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:47, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-01-19 20:14:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.044000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-19 20:14:51, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.004000
